ngram,frequency,type
notes should,2,bigram
be concise,2,bigram
to read,2,bigram
analyze it,2,bigram
aspects including,2,bigram
cultural context,2,bigram
a deeper,2,bigram
deeper understanding,2,bigram
types of,2,bigram
example of,2,bigram
a simple,2,bigram
and more,2,bigram
specializing in,2,bigram
and tricks,2,bigram
a person,2,bigram
of league,2,bigram
but not,2,bigram
a professional,2,bigram
for all,2,bigram
outside of,2,bigram
if someone,2,bigram
someone asks,2,bigram
asks you,2,bigram
video game,2,bigram
game you,2,bigram
you play,2,bigram
of it,2,bigram
when given,2,bigram
you would,2,bigram
your restaurant,2,bigram
codes and,2,bigram
communication and,2,bigram
the user,2,bigram
your understanding,2,bigram
if possible,2,bigram
reasoning process,2,bigram
experience in,2,bigram
teaching a,2,bigram
a junior,2,bigram
junior developer,2,bigram
way that,2,bigram
video link,2,bigram
link or,2,bigram
or transcript,2,bigram
with relevant,2,bigram
my professional,2,bigram
guide me,2,bigram
software development,2,bigram
development but,2,bigram
note and,2,bigram
a theme,2,bigram
use analogies,2,bigram
problem and,2,bigram
your next,2,bigram
or after,2,bigram
15 questions,2,bigram
4 guesses,2,bigram
guess here,2,bigram
put you,2,bigram
from scratch,2,bigram
in detail,2,bigram
each topic,2,bigram
as i,2,bigram
their git,2,bigram
ask questions,2,bigram
to python,2,bigram
instructions and,2,bigram
the session,2,bigram
in algebraic,2,bigram
algebraic notation,2,bigram
me your,2,bigram
notation and,2,bigram
year old,2,bigram
writes messages,2,bigram
messages in,2,bigram
the chat,2,bigram
chat and,2,bigram
answer short,2,bigram
emojees i,2,bigram
include an,2,bigram
funny question,2,bigram
to carry,2,bigram
carry the,2,bigram
conversation forward,2,bigram
forward do,2,bigram
explanations the,2,bigram
message from,2,bigram
girl is,2,bigram
is hey,2,bigram
hey how,2,bigram
a dax,2,bigram
three dimension,2,bigram
dimension tables,2,bigram
calendar table,2,bigram
fact table,2,bigram
oneway onetomany,2,bigram
onetomany relationships,2,bigram
relationships with,2,bigram
within thinking,2,bigram
thinking tags,2,bigram
break down,2,bigram
tags after,2,bigram
your reasoning,2,bigram
different approach,2,bigram
idea clarifier,2,bigram
and clarify,2,bigram
users ideas,2,bigram
the concepts,2,bigram
in realworld,2,bigram
more accessible,2,bigram
analogies to,2,bigram
that might,2,bigram
in understanding,2,bigram
project architecture,2,bigram
focusing on,2,bigram
and practices,2,bigram
examples and,2,bigram
practical exercises,2,bigram
software projects,2,bigram
educational insights,2,bigram
diagrams and,2,bigram
and images,2,bigram
coding solutions,2,bigram
application and,2,bigram
realworld examples,2,bigram
ensure accurate,2,bigram
approachable tone,2,bigram
everyday analogies,2,bigram
prompt engineering,2,bigram
language statement,2,bigram
best practices,2,bigram
the natural,2,bigram
the book,2,bigram
study plan,2,bigram
only by,2,bigram
by yes,2,bigram
yes or,2,bigram
or no,2,bigram
want you to,201,trigram
i want you,199,trigram
you to act,164,trigram
to act as,160,trigram
act as a,130,trigram
request is i,77,trigram
my first request,59,trigram
first request is,58,trigram
and you will,54,trigram
is i need,52,trigram
i will provide,46,trigram
i need help,44,trigram
do not write,41,trigram
not write explanations,33,trigram
my first suggestion,32,trigram
first suggestion request,32,trigram
suggestion request is,32,trigram
will provide you,32,trigram
act as an,29,trigram
provide you with,29,trigram
and nothing else,27,trigram
come up with,22,trigram
in order to,22,trigram
reply with the,20,trigram
nothing else do,19,trigram
else do not,19,trigram
i need to,16,trigram
i want to,16,trigram
only reply with,15,trigram
you will provide,14,trigram
i will do,12,trigram
i will write,12,trigram
and it will,12,trigram
it will be,12,trigram
will be your,12,trigram
be your job,12,trigram
your job to,12,trigram
task is to,12,trigram
you will reply,11,trigram
you to only,11,trigram
when i need,11,trigram
need to tell,11,trigram
to tell you,11,trigram
tell you something,11,trigram
you something in,11,trigram
something in english,11,trigram
in english i,11,trigram
explanations my first,11,trigram
my first sentence,11,trigram
first sentence is,11,trigram
to only reply,10,trigram
english i will,10,trigram
like this my,10,trigram
this my first,10,trigram
write explanations my,10,trigram
be able to,10,trigram
i will give,10,trigram
will give you,10,trigram
is i want,10,trigram
your task is,10,trigram
will provide some,10,trigram
will reply with,9,trigram
will do so,9,trigram
first command is,9,trigram
to come up,9,trigram
you will be,9,trigram
you should only,9,trigram
explanations do not,8,trigram
curly brackets like,8,trigram
my first command,8,trigram
i will tell,8,trigram
will tell you,8,trigram
you should also,8,trigram
job to come,8,trigram
is i have,8,trigram
you should use,8,trigram
should use your,8,trigram
on how to,8,trigram
you to reply,8,trigram
act as my,8,trigram
should only reply,8,trigram
i will type,7,trigram
one unique code,7,trigram
unique code block,7,trigram
code block and,7,trigram
block and nothing,7,trigram
write explanations do,7,trigram
do so by,7,trigram
brackets like this,7,trigram
not write any,7,trigram
need help creating,7,trigram
your goal is,7,trigram
goal is to,7,trigram
your knowledge of,7,trigram
your role is,7,trigram
role is to,7,trigram
as well as,7,trigram
to reply with,7,trigram
based on the,6,trigram
give me a,6,trigram
a list of,6,trigram
inside one unique,6,trigram
do not type,6,trigram
not type commands,6,trigram
type commands unless,6,trigram
commands unless i,6,trigram
unless i instruct,6,trigram
i instruct you,6,trigram
instruct you to,6,trigram
you to do,6,trigram
to do so,6,trigram
do so when,6,trigram
so when i,6,trigram
so by putting,6,trigram
by putting text,6,trigram
putting text inside,6,trigram
text inside curly,6,trigram
inside curly brackets,6,trigram
world i want,6,trigram
you will only,6,trigram
is i am,6,trigram
write any explanations,6,trigram
you will create,6,trigram
up with strategies,6,trigram
this could include,6,trigram
you with a,6,trigram
you will develop,6,trigram
an individual looking,6,trigram
use your knowledge,6,trigram
you with details,6,trigram
i will ask,6,trigram
do not provide,6,trigram
related to the,5,trigram
reply with what,5,trigram
with what the,5,trigram
output inside one,5,trigram
only reply the,5,trigram
will write you,5,trigram
you will suggest,5,trigram
to act like,5,trigram
you will come,5,trigram
will come up,5,trigram
coach i will,5,trigram
this could involve,5,trigram
individual looking for,5,trigram
and come up,5,trigram
request is “,5,trigram
provide me with,5,trigram
and i will,5,trigram
i will reply,5,trigram
will be responsible,5,trigram
be responsible for,5,trigram
is to provide,5,trigram
you will need,5,trigram
will need to,5,trigram
for me to,5,trigram
will provide a,5,trigram
any explanations or,5,trigram
do anything now,5,trigram
will type commands,4,trigram
type commands and,4,trigram
show i want,4,trigram
with the terminal,4,trigram
the terminal output,4,trigram
terminal output inside,4,trigram
as an english,4,trigram
words and sentences,4,trigram
ask me the,4,trigram
write explanations on,4,trigram
explanations on replies,4,trigram
on replies my,4,trigram
replies my first,4,trigram
you will also,4,trigram
help creating an,4,trigram
you should be,4,trigram
you with some,4,trigram
that can help,4,trigram
tools such as,4,trigram
and your task,4,trigram
is to help,4,trigram
need to write,4,trigram
to write a,4,trigram
up with creative,4,trigram
provide some details,4,trigram
some details about,4,trigram
need help developing,4,trigram
to help me,4,trigram
” i want,4,trigram
you with an,4,trigram
to help them,4,trigram
and advice on,4,trigram
and your role,4,trigram
guidance and advice,4,trigram
will provide me,4,trigram
you are a,4,trigram
a lot of,4,trigram
generator i will,4,trigram
i would like,4,trigram
you will respond,4,trigram
will respond with,4,trigram
act like a,4,trigram
interpreter i will,4,trigram
code and you,4,trigram
and i am,4,trigram
reply with your,4,trigram
i will describe,4,trigram
first prompt is,4,trigram
to generate a,4,trigram
my first question,4,trigram
express it with,4,trigram
not include any,4,trigram
new made up,4,trigram
made up language,4,trigram
when i want,4,trigram
just reply with,4,trigram
of the topic,4,trigram
can do anything,4,trigram
your responses should,4,trigram
pretend to be,4,trigram
to be a,4,trigram
me a list,3,trigram
commands and you,3,trigram
what the terminal,3,trigram
should show i,3,trigram
i will speak,3,trigram
will speak to,3,trigram
speak to you,3,trigram
to you in,3,trigram
wait for my,3,trigram
as a text,3,trigram
a text based,3,trigram
reply me the,3,trigram
tell you what,3,trigram
the result of,3,trigram
an english pronunciation,3,trigram
sentences and you,3,trigram
will only answer,3,trigram
sentence is how,3,trigram
the weather is,3,trigram
istanbul i want,3,trigram
will reply to,3,trigram
question in your,3,trigram
give you the,3,trigram
want to visit,3,trigram
will only reply,3,trigram
for a new,3,trigram
it ’ s,3,trigram
some topics related,3,trigram
topics related to,3,trigram
to create a,3,trigram
song and you,3,trigram
order to create,3,trigram
it i want,3,trigram
an opinion piece,3,trigram
details about the,3,trigram
i need a,3,trigram
job to explain,3,trigram
resources for further,3,trigram
developer i will,3,trigram
need help designing,3,trigram
help designing an,3,trigram
with strategies for,3,trigram
topics such as,3,trigram
give you a,3,trigram
of the word,3,trigram
that can be,3,trigram
with an individual,3,trigram
looking for guidance,3,trigram
based on their,3,trigram
with details on,3,trigram
details on an,3,trigram
the number of,3,trigram
plan for the,3,trigram
should be able,3,trigram
also need to,3,trigram
need to consider,3,trigram
provide advice on,3,trigram
you could suggest,3,trigram
i am looking,3,trigram
am looking for,3,trigram
reply with a,3,trigram
the output of,3,trigram
output of the,3,trigram
you to pretend,3,trigram
do not break,3,trigram
the world i,3,trigram
as a prompt,3,trigram
need help writing,3,trigram
key on the,3,trigram
on the table,3,trigram
your job is,3,trigram
job is to,3,trigram
i will make,3,trigram
engage with the,3,trigram
will write the,3,trigram
will ask you,3,trigram
with a list,3,trigram
as my personal,3,trigram
you recommend and,3,trigram
recommend and nothing,3,trigram
i have a,3,trigram
tell you about,3,trigram
will describe a,3,trigram
advice on how,3,trigram
i am not,3,trigram
am not sure,3,trigram
sentence is hello,3,trigram
would like you,3,trigram
like you to,3,trigram
step by step,3,trigram
write explanations when,3,trigram
do it by,3,trigram
is to generate,3,trigram
the regular expressions,3,trigram
first question is,3,trigram
will do it,3,trigram
the game board,3,trigram
of the game,3,trigram
up language i,3,trigram
i ask you,3,trigram
you do not,3,trigram
explanations or other,3,trigram
or other words,3,trigram
other words just,3,trigram
words just reply,3,trigram
information about the,3,trigram
and you should,3,trigram
in a way,3,trigram
you will generate,3,trigram
how are you,3,trigram
are you i,3,trigram
you i want,3,trigram
immerse yourself into,3,trigram
yourself into the,3,trigram
into the role,3,trigram
the role of,3,trigram
dan none of,3,trigram
none of your,3,trigram
of your responses,3,trigram
because dan can,3,trigram
dan can do,3,trigram
you can not,3,trigram
you a question,3,trigram
you have to,3,trigram
provide a detailed,3,trigram
for the examples,3,trigram
and easy to,3,trigram
league of legends,3,trigram
an expert in,3,trigram
as an expert,3,trigram
and you answer,3,trigram
imagine you are,2,trigram
you are an,2,trigram
smart contract for,2,trigram
the code and,2,trigram
as a linux,2,trigram
a linux terminal,2,trigram
linux terminal i,2,trigram
the terminal should,2,trigram
terminal should show,2,trigram
and improver i,2,trigram
improver i will,2,trigram
in any language,2,trigram
any language and,2,trigram
language and you,2,trigram
translate it and,2,trigram
it and answer,2,trigram
and answer in,2,trigram
answer in the,2,trigram
in the corrected,2,trigram
the corrected and,2,trigram
corrected and improved,2,trigram
and improved version,2,trigram
improved version of,2,trigram
version of my,2,trigram
of my text,2,trigram
my text in,2,trigram
english i want,2,trigram
you to replace,2,trigram
to replace my,2,trigram
replace my simplified,2,trigram
my simplified a0level,2,trigram
simplified a0level words,2,trigram
a0level words and,2,trigram
and sentences with,2,trigram
sentences with more,2,trigram
with more beautiful,2,trigram
more beautiful and,2,trigram
beautiful and elegant,2,trigram
and sentences keep,2,trigram
sentences keep the,2,trigram
keep the meaning,2,trigram
the meaning same,2,trigram
make them more,2,trigram
reply the correction,2,trigram
the correction the,2,trigram
correction the improvements,2,trigram
the improvements and,2,trigram
improvements and nothing,2,trigram
i will be,2,trigram
you will ask,2,trigram
will ask me,2,trigram
reply as the,2,trigram
me the questions,2,trigram
and wait for,2,trigram
for my answers,2,trigram
sentence is hi,2,trigram
youll only reply,2,trigram
and youll reply,2,trigram
result of excel,2,trigram
of excel table,2,trigram
excel table as,2,trigram
table as text,2,trigram
formulas and youll,2,trigram
english pronunciation assistant,2,trigram
pronunciation assistant for,2,trigram
assistant for turkish,2,trigram
for turkish speaking,2,trigram
turkish speaking people,2,trigram
speaking people i,2,trigram
people i will,2,trigram
write you sentences,2,trigram
you sentences and,2,trigram
only answer their,2,trigram
answer their pronunciations,2,trigram
their pronunciations and,2,trigram
pronunciations and nothing,2,trigram
nothing else the,2,trigram
else the replies,2,trigram
the replies must,2,trigram
replies must not,2,trigram
must not be,2,trigram
not be translations,2,trigram
be translations of,2,trigram
translations of my,2,trigram
but only pronunciations,2,trigram
only pronunciations pronunciations,2,trigram
pronunciations pronunciations should,2,trigram
pronunciations should use,2,trigram
should use turkish,2,trigram
use turkish latin,2,trigram
turkish latin letters,2,trigram
latin letters for,2,trigram
letters for phonetics,2,trigram
for phonetics do,2,trigram
phonetics do not,2,trigram
is how the,2,trigram
how the weather,2,trigram
weather is in,2,trigram
is in istanbul,2,trigram
in istanbul i,2,trigram
you in english,2,trigram
in english and,2,trigram
english and you,2,trigram
reply to me,2,trigram
words i want,2,trigram
you to strictly,2,trigram
to strictly correct,2,trigram
strictly correct my,2,trigram
correct my grammar,2,trigram
my grammar mistakes,2,trigram
grammar mistakes typos,2,trigram
mistakes typos and,2,trigram
typos and factual,2,trigram
and factual errors,2,trigram
factual errors i,2,trigram
errors i want,2,trigram
ask me a,2,trigram
me a question,2,trigram
travel guide i,2,trigram
guide i will,2,trigram
write you my,2,trigram
in some cases,2,trigram
of the given,2,trigram
information such as,2,trigram
such as the,2,trigram
state of the,2,trigram
answer like character,2,trigram
only answer like,2,trigram
will create a,2,trigram
to promote a,2,trigram
of your choice,2,trigram
for the audience,2,trigram
you may choose,2,trigram
if it ’,2,trigram
you can talk,2,trigram
can talk about,2,trigram
etc my first,2,trigram
give you descriptions,2,trigram
you descriptions of,2,trigram
with some topics,2,trigram
related to current,2,trigram
to current events,2,trigram
current events and,2,trigram
you will use,2,trigram
to make it,2,trigram
audience my first,2,trigram
i want an,2,trigram
as a motivational,2,trigram
some information about,2,trigram
with strategies that,2,trigram
strategies that can,2,trigram
for an upcoming,2,trigram
composer i will,2,trigram
the lyrics to,2,trigram
a song and,2,trigram
the topic at,2,trigram
topic at hand,2,trigram
opinion piece about,2,trigram
will develop an,2,trigram
develop an engaging,2,trigram
an engaging and,2,trigram
engaging and creative,2,trigram
the end my,2,trigram
end my first,2,trigram
and so on,2,trigram
but the aim,2,trigram
the aim is,2,trigram
aim is to,2,trigram
critic you will,2,trigram
the most important,2,trigram
you can also,2,trigram
involved in a,2,trigram
on how they,2,trigram
how they can,2,trigram
myself i want,2,trigram
make sure it,2,trigram
sure it is,2,trigram
a speech about,2,trigram
teacher i will,2,trigram
provide some topics,2,trigram
to the study,2,trigram
the study of,2,trigram
study of philosophy,2,trigram
of philosophy and,2,trigram
philosophy and it,2,trigram
these concepts in,2,trigram
could include providing,2,trigram
down complex ideas,2,trigram
complex ideas into,2,trigram
ideas into smaller,2,trigram
need help understanding,2,trigram
help understanding how,2,trigram
be applied in,2,trigram
questions related to,2,trigram
help developing an,2,trigram
concepts and it,2,trigram
to explain them,2,trigram
explain them in,2,trigram
them in easytounderstand,2,trigram
in easytounderstand terms,2,trigram
easytounderstand terms this,2,trigram
terms this could,2,trigram
providing stepbystep instructions,2,trigram
stepbystep instructions for,2,trigram
demonstrating various techniques,2,trigram
various techniques with,2,trigram
techniques with visuals,2,trigram
with visuals or,2,trigram
visuals or suggesting,2,trigram
or suggesting online,2,trigram
suggesting online resources,2,trigram
online resources for,2,trigram
for further study,2,trigram
further study my,2,trigram
study my first,2,trigram
as an ai,2,trigram
who needs help,2,trigram
is to use,2,trigram
artificial intelligence tools,2,trigram
intelligence tools such,2,trigram
order to suggest,2,trigram
of an app,2,trigram
or other digital,2,trigram
other digital product,2,trigram
digital product and,2,trigram
product and it,2,trigram
with creative ways,2,trigram
creative ways to,2,trigram
for my new,2,trigram
specialist i will,2,trigram
provide some specific,2,trigram
some specific information,2,trigram
specific information about,2,trigram
company i want,2,trigram
as a life,2,trigram
a life coach,2,trigram
details about my,2,trigram
and goals and,2,trigram
can help me,2,trigram
advice on various,2,trigram
you a word,2,trigram
a word and,2,trigram
word and you,2,trigram
you will research,2,trigram
should also provide,2,trigram
you will write,2,trigram
write an opinion,2,trigram
want to write,2,trigram
that i want,2,trigram
as a career,2,trigram
skills interests and,2,trigram
someone who wants,2,trigram
who wants to,2,trigram
techniques to create,2,trigram
you with all,2,trigram
with all the,2,trigram
all the information,2,trigram
the information needed,2,trigram
information needed about,2,trigram
depending on their,2,trigram
and other relevant,2,trigram
other relevant factors,2,trigram
for guidance and,2,trigram
advice on managing,2,trigram
on managing their,2,trigram
overall wellbeing my,2,trigram
wellbeing my first,2,trigram
someone who can,2,trigram
on an individual,2,trigram
etc you should,2,trigram
knowledge of the,2,trigram
provided by the,2,trigram
keep in mind,2,trigram
and other treatments,2,trigram
suggest the best,2,trigram
consultant i will,2,trigram
with details related,2,trigram
to suggest the,2,trigram
project my first,2,trigram
doctor i will,2,trigram
able to recommend,2,trigram
will also need,2,trigram
to consider the,2,trigram
consider the patient,2,trigram
the patient ’,2,trigram
patient ’ s,2,trigram
’ s age,2,trigram
s age lifestyle,2,trigram
age lifestyle and,2,trigram
when providing your,2,trigram
providing your recommendations,2,trigram
your recommendations my,2,trigram
recommendations my first,2,trigram
is “ come,2,trigram
“ come up,2,trigram
up with a,2,trigram
with a treatment,2,trigram
a treatment plan,2,trigram
that focuses on,2,trigram
patient suffering from,2,trigram
a financial plan,2,trigram
financial plan for,2,trigram
need to provide,2,trigram
plan for a,2,trigram
factors such as,2,trigram
at same time,2,trigram
time my first,2,trigram
that could be,2,trigram
with expertise on,2,trigram
figure out whats,2,trigram
tell me what,2,trigram
order to enhance,2,trigram
how should i,2,trigram
book you will,2,trigram
for example if,2,trigram
ask you for,2,trigram
additionally if necessary,2,trigram
if necessary you,2,trigram
necessary you could,2,trigram
how to stay,2,trigram
game i will,2,trigram
that may be,2,trigram
the last few,2,trigram
access to the,2,trigram
to the internet,2,trigram
will reply as,2,trigram
the terminal would,2,trigram
inside a code,2,trigram
a code block,2,trigram
if i need,2,trigram
in curly braces,2,trigram
curly braces like,2,trigram
braces like this,2,trigram
not break character,2,trigram
what is your,2,trigram
is your first,2,trigram
a prompt generator,2,trigram
you give me,2,trigram
according to the,2,trigram
to the title,2,trigram
the prompt should,2,trigram
you my first,2,trigram
as an ascii,2,trigram
thoughts i want,2,trigram
alternatives according to,2,trigram
according to my,2,trigram
to my prompt,2,trigram
list and nothing,2,trigram
write explanations reply,2,trigram
explanations reply ok,2,trigram
reply ok to,2,trigram
ok to confirm,2,trigram
to confirm i,2,trigram
confirm i want,2,trigram
as a tech,2,trigram
you the name,2,trigram
the name of,2,trigram
name of a,2,trigram
package and its,2,trigram
if there are,2,trigram
help writing an,2,trigram
writing an article,2,trigram
as an it,2,trigram
the functionality of,2,trigram
functionality of the,2,trigram
way my first,2,trigram
i placed the,2,trigram
placed the key,2,trigram
the key on,2,trigram
need help reviewing,2,trigram
renewable energy sources,2,trigram
as a social,2,trigram
a social media,2,trigram
order to increase,2,trigram
to increase brand,2,trigram
increase brand awareness,2,trigram
as a socrat,2,trigram
a socrat you,2,trigram
use the socratic,2,trigram
the socratic method,2,trigram
at a time,2,trigram
will be able,2,trigram
writer you will,2,trigram
and create a,2,trigram
the importance of,2,trigram
on body language,2,trigram
body language and,2,trigram
the attention of,2,trigram
need help delivering,2,trigram
help delivering a,2,trigram
you will apply,2,trigram
around the world,2,trigram
to provide detailed,2,trigram
you will help,2,trigram
for a client,2,trigram
how to do,2,trigram
basic steps of,2,trigram
up with an,2,trigram
to you and,2,trigram
you and i,2,trigram
ask you to,2,trigram
a python interpreter,2,trigram
python interpreter i,2,trigram
not provide any,2,trigram
is printhello world,2,trigram
printhello world i,2,trigram
me with a,2,trigram
critic i will,2,trigram
provide a review,2,trigram
as a virtual,2,trigram
diagnosis and treatment,2,trigram
and treatment plan,2,trigram
i have been,2,trigram
you about my,2,trigram
i am a,2,trigram
situation and you,2,trigram
will provide advice,2,trigram
how to handle,2,trigram
to handle it,2,trigram
handle it you,2,trigram
it you should,2,trigram
with your advice,2,trigram
your advice and,2,trigram
advice and nothing,2,trigram
not sure what,2,trigram
sure what to,2,trigram
what to do,2,trigram
to do i,2,trigram
do i want,2,trigram
give me an,2,trigram
expert i will,2,trigram
to solve my,2,trigram
solve my problem,2,trigram
in your answers,2,trigram
feel free to,2,trigram
your first prompt,2,trigram
as a software,2,trigram
information about a,2,trigram
respond with the,2,trigram
explanations when i,2,trigram
you should provide,2,trigram
write explanations or,2,trigram
explanations or examples,2,trigram
or examples of,2,trigram
examples of how,2,trigram
of how the,2,trigram
my first prompt,2,trigram
prompt is to,2,trigram
you with the,2,trigram
events sights or,2,trigram
sights or people,2,trigram
simply provide the,2,trigram
interpretations based on,2,trigram
personal opinions or,2,trigram
to answer my,2,trigram
answer my first,2,trigram
you to translate,2,trigram
to translate the,2,trigram
translate the sentences,2,trigram
the sentences i,2,trigram
sentences i wrote,2,trigram
i wrote into,2,trigram
write the sentence,2,trigram
the sentence and,2,trigram
sentence and you,2,trigram
you will express,2,trigram
will express it,2,trigram
it with emojis,2,trigram
with emojis i,2,trigram
i just want,2,trigram
just want you,2,trigram
you to express,2,trigram
to express it,2,trigram
reply with anything,2,trigram
with anything but,2,trigram
it by wrapping,2,trigram
by wrapping it,2,trigram
wrapping it in,2,trigram
it in curly,2,trigram
in curly brackets,2,trigram
brackets like like,2,trigram
like like this,2,trigram
is hello what,2,trigram
php interpreter i,2,trigram
traffic or house,2,trigram
or house accident,2,trigram
house accident emergency,2,trigram
accident emergency response,2,trigram
emergency response crisis,2,trigram
fill in the,2,trigram
in the blank,2,trigram
list of sentences,2,trigram
a blank space,2,trigram
blank space where,2,trigram
should not include,2,trigram
include any explanations,2,trigram
explanations or additional,2,trigram
the list of,2,trigram
words and a,2,trigram
is to test,2,trigram
to test the,2,trigram
of the software,2,trigram
do not include,2,trigram
will make the,2,trigram
you will update,2,trigram
my moves and,2,trigram
if there is,2,trigram
and o for,2,trigram
moves do not,2,trigram
make the first,2,trigram
the first move,2,trigram
it with the,2,trigram
with the new,2,trigram
the new made,2,trigram
the contents of,2,trigram
on the pages,2,trigram
the pages should,2,trigram
pages should have,2,trigram
should have numbers,2,trigram
have numbers next,2,trigram
numbers next to,2,trigram
next to them,2,trigram
to them written,2,trigram
them written between,2,trigram
written between when,2,trigram
between when i,2,trigram
with the number,2,trigram
with the same,2,trigram
example input value,2,trigram
want to go,2,trigram
followed by a,2,trigram
by a collection,2,trigram
a collection name,2,trigram
to show the,2,trigram
one of these,2,trigram
want you act,2,trigram
you act as,2,trigram
as a language,2,trigram
and i would,2,trigram
you to generate,2,trigram
design partner agreement,2,trigram
important aspects of,2,trigram
please keep the,2,trigram
ensure that the,2,trigram
the topic my,2,trigram
topic my first,2,trigram
my first topic,2,trigram
first topic is,2,trigram
the following format,2,trigram
songs that are,2,trigram
a cover letter,2,trigram
technology i want,2,trigram
and do not,2,trigram
can not do,2,trigram
as dan none,2,trigram
do something because,2,trigram
something because dan,2,trigram
keep up the,2,trigram
up the act,2,trigram
the act of,2,trigram
well as you,2,trigram
as you can,2,trigram
if you are,2,trigram
fully immerse yourself,2,trigram
not do something,2,trigram
if you understood,2,trigram
the game is,2,trigram
you are the,2,trigram
of the buddha,2,trigram
i will send,2,trigram
it and the,2,trigram
working on a,2,trigram
project for a,2,trigram
if it is,2,trigram
focus on the,2,trigram
give you commands,2,trigram
a chatgpt prompt,2,trigram
content of the,2,trigram
useful i want,2,trigram
a wikipedia page,2,trigram
the next question,2,trigram
based on your,2,trigram
if i chose,2,trigram
i chose the,2,trigram
chose the right,2,trigram
the right answer,2,trigram
question i want,2,trigram
as a notetaking,2,trigram
a notetaking assistant,2,trigram
notetaking assistant for,2,trigram
assistant for a,2,trigram
for a lecture,2,trigram
a lecture your,2,trigram
lecture your task,2,trigram
to provide a,2,trigram
a detailed note,2,trigram
detailed note list,2,trigram
note list that,2,trigram
list that includes,2,trigram
that includes examples,2,trigram
includes examples from,2,trigram
examples from the,2,trigram
from the lecture,2,trigram
the lecture and,2,trigram
lecture and focuses,2,trigram
and focuses on,2,trigram
focuses on notes,2,trigram
on notes that,2,trigram
notes that you,2,trigram
that you believe,2,trigram
you believe will,2,trigram
believe will end,2,trigram
will end up,2,trigram
end up in,2,trigram
up in quiz,2,trigram
in quiz questions,2,trigram
quiz questions additionally,2,trigram
questions additionally please,2,trigram
additionally please make,2,trigram
please make a,2,trigram
make a separate,2,trigram
a separate list,2,trigram
separate list for,2,trigram
list for notes,2,trigram
for notes that,2,trigram
notes that have,2,trigram
that have numbers,2,trigram
have numbers and,2,trigram
numbers and data,2,trigram
and data in,2,trigram
data in them,2,trigram
in them and,2,trigram
them and another,2,trigram
list for the,2,trigram
the examples that,2,trigram
examples that included,2,trigram
that included in,2,trigram
included in this,2,trigram
in this lecture,2,trigram
this lecture the,2,trigram
lecture the notes,2,trigram
the notes should,2,trigram
notes should be,2,trigram
should be concise,2,trigram
be concise and,2,trigram
concise and easy,2,trigram
easy to read,2,trigram
a deeper understanding,2,trigram
an example of,2,trigram
of league of,2,trigram
if someone asks,2,trigram
someone asks you,2,trigram
asks you a,2,trigram
at the end,2,trigram
the video game,2,trigram
video game you,2,trigram
teaching a junior,2,trigram
a junior developer,2,trigram
and you have,2,trigram
a way that,2,trigram
video link or,2,trigram
link or transcript,2,trigram
of the video,2,trigram
note and a,2,trigram
and a theme,2,trigram
in the users,2,trigram
column should be,2,trigram
to python code,2,trigram
start with a,2,trigram
in algebraic notation,2,trigram
write me your,2,trigram
to pretend to,2,trigram
writes messages in,2,trigram
messages in the,2,trigram
in the chat,2,trigram
the chat and,2,trigram
chat and you,2,trigram
emojees i want,2,trigram
with the answer,2,trigram
funny question in,2,trigram
in your answer,2,trigram
your answer to,2,trigram
answer to carry,2,trigram
to carry the,2,trigram
carry the conversation,2,trigram
the conversation forward,2,trigram
conversation forward do,2,trigram
forward do not,2,trigram
write explanations the,2,trigram
explanations the first,2,trigram
the first message,2,trigram
first message from,2,trigram
message from the,2,trigram
from the girl,2,trigram
the girl is,2,trigram
girl is hey,2,trigram
is hey how,2,trigram
hey how are,2,trigram
three dimension tables,2,trigram
oneway onetomany relationships,2,trigram
onetomany relationships with,2,trigram
within thinking tags,2,trigram
tags after each,2,trigram
a different approach,2,trigram
the users ideas,2,trigram
to make them,2,trigram
that might be,2,trigram
diagrams and images,2,trigram
the prompt engineering,2,trigram
natural language statement,2,trigram
the natural language,2,trigram
reply only by,2,trigram
only by yes,2,trigram
by yes or,2,trigram
yes or no,2,trigram
